iter	RMSE
0	0.1604098204
1	0.1574155525
2	0.1544308123
3	0.1519053524
4	0.1488855575
5	0.1455716652
6	0.1421773829
7	0.1393929113
8	0.1363953533
9	0.1334894867
10	0.1314421308
11	0.1286555356
12	0.1258000089
13	0.1228553492
14	0.1205729347
15	0.118295768
16	0.1171232827
17	0.1146483812
18	0.1118378163
19	0.1097569228
20	0.1075810515
21	0.1050599702
22	0.1026522011
23	0.1009232426
24	0.09920158113
25	0.09717662288
26	0.09544079572
27	0.09320150993
28	0.09072003084
29	0.08920355569
30	0.08731338224
31	0.08589547999
32	0.08407511544
33	0.08300484273
34	0.08100032232
35	0.07916638718
36	0.07769159313
37	0.07609807169
38	0.07412678395
39	0.07251134636
40	0.07113759652
41	0.07004868341
42	0.06901842931
43	0.06767528448
44	0.06628082486
45	0.06485145459
46	0.06365624934
47	0.06251911945
48	0.06132349615
49	0.06012512823
