iter	Passed	Remaining
0	124	6107
1	126	3025
2	126	1988
3	127	1471
4	129	1162
5	130	956
6	131	806
7	132	694
8	132	605
9	133	533
10	134	475
11	135	427
12	135	386
13	136	351
14	137	320
15	137	293
16	138	268
17	138	246
18	139	227
19	139	209
20	139	193
21	140	178
22	140	165
23	141	153
24	141	141
25	142	131
26	142	121
27	142	112
28	143	103
29	143	95
30	144	88
31	144	81
32	144	74
33	145	68
34	145	62
35	146	56
36	146	51
37	146	46
38	147	41
39	147	36
40	147	32
41	148	28
42	148	24
43	149	20
44	149	16
45	149	13
46	150	9
47	150	6
48	150	3
49	151	0
