iter	Passed	Remaining
0	136	6695
1	137	3297
2	138	2162
3	138	1593
4	139	1252
5	150	1106
6	151	932
7	152	801
8	153	697
9	153	614
10	154	546
11	154	490
12	155	442
13	155	401
14	156	365
15	162	344
16	163	316
17	164	292
18	165	269
19	166	249
20	166	230
21	167	213
22	168	197
23	168	182
24	169	169
25	169	156
26	170	145
27	171	134
28	171	124
29	172	114
30	172	105
31	173	97
32	174	89
33	174	82
34	175	75
35	175	68
36	176	62
37	177	55
38	177	50
39	178	44
40	178	39
41	178	34
42	179	29
43	179	24
44	180	20
45	180	15
46	181	11
47	181	7
48	181	3
49	182	0
