,count,mean,std,min,25%,50%,75%,max
ID,29.0,15.0,8.514693182963201,1.0,8.0,15.0,22.0,29.0
valid_pixels,29.0,33189.137931034486,36691.71799186542,0.0,4228.0,20531.0,42773.0,116295.0
mean_20250606,25.0,51.335647005902565,7.0823977588334985,38.513902205177374,45.753396836293945,51.800463921382786,56.43330906443393,62.42136232173132
std_20250606,25.0,17.077440816741763,6.8374268486193825,7.493141344166708,12.752132842637055,15.922815796176415,20.803514395310167,38.663389254764155
min_20250606,25.0,6.76,8.589140430411726,0.0,0.0,0.0,15.0,21.0
max_20250606,25.0,134.6,28.269536017887994,85.0,116.0,135.0,153.0,193.0
cv_20250606,25.0,0.33802285886499583,0.16457220264558028,0.17162070987524808,0.24872812555368218,0.2866935444149631,0.3563841923023797,1.003881118303185
skew_20250606,25.0,0.15785477633680808,1.0452524225617241,-1.539248544628553,-0.8900794452745437,0.23529212599341073,0.9429557032836033,1.8395605554522398
kurt_20250606,25.0,2.366241658526465,2.5439382094179885,-0.13811902391694808,0.681692542424309,1.4857075940658229,3.615519142493781,11.148783016652155
p10_20250606,25.0,28.2,16.451950239004088,0.0,31.0,35.0,38.0,46.0
p25_20250606,25.0,42.32,10.205064102362774,0.0,40.0,43.0,47.0,55.0
p50_20250606,25.0,51.32,7.787382957921958,33.0,46.0,50.0,57.0,64.0
p75_20250606,25.0,60.48,8.466207336621673,48.0,54.0,60.0,68.0,73.0
p90_20250606,25.0,71.12,11.850316451470828,53.0,63.0,74.0,79.0,95.80000000000007
mean_local_std_20250606,25.0,8.8813764546671,2.4210634506194477,5.8965670391530836,7.091466657257828,8.05880983554639,10.924766459250245,14.998001618905116
local_variance_20250606,25.0,114.65176957292819,74.90579785596097,47.17169639888141,59.25685312512621,80.23449083635045,152.44311628067334,350.69621696663216
mean_sobel_20250606,25.0,59.38266935822361,17.46788080481885,38.86174455001199,47.036953048344714,53.030384182437594,75.0712342714433,107.49385731538753
laplacian_var_20250606,25.0,1327.7653573397472,1016.1165497828883,541.1987868836092,722.1380775254839,907.9649294889756,1464.4277205480014,5091.37362300608
edge_density_20250606,25.0,0.32724451639218677,0.04035588325912463,0.2636625119846596,0.29900284214075823,0.32030351805012647,0.35466701061954514,0.42570281124497994
lbp_mean_20250606,25.0,5.198286103786147,0.20914820276724447,4.87292817679558,5.089668943380734,5.119217254566986,5.295534466978178,5.90124640460211
iqr_20250606,25.0,18.16,9.70687041910694,9.0,14.0,16.0,21.0,60.0
entropy_20250606,25.0,0.4769358143965718,0.09793151517181671,0.32364884367125957,0.4111045936404398,0.460852176295673,0.5387678727300064,0.7503656633484411
glcm_contrast_20250606,25.0,0.005424047632177874,0.0046567794821970685,0.00018874509111958446,0.0027753113374500895,0.004084686079894843,0.005816087327993649,0.016695085508471152
glcm_homogeneity_20250606,25.0,0.9982002198540014,0.0016958304911973256,0.9941695699886386,0.9977672382180197,0.998811245968916,0.9990001188541124,0.9999808655167302
glcm_entropy_20250606,25.0,0.30859711381192156,0.26957326597222864,0.0031348323352642254,0.16628250816816,0.23826656355829923,0.42435049062790337,0.8716381480774568
glcm_energy_20250606,25.0,0.9931716322025903,0.006639829300492859,0.9790444765909313,0.9912621467067934,0.9952765978747112,0.9969703113720415,0.9999624044792095
glcm_asm_20250606,25.0,0.9864322151966611,0.013141606679753661,0.9585280888155389,0.9826006447383204,0.9905755064297549,0.9939498018513511,0.9999248103775547
mean_20250619,25.0,49.86234233406706,15.333108910895191,0.0,40.459865092748736,53.59118443433888,60.27396000050409,71.53716129333925
std_20250619,25.0,19.580006321194233,9.1489461934714,0.0,15.64096026807995,16.59016339553029,22.823002383876798,48.76354301941585
min_20250619,25.0,3.96,5.404319260246073,0.0,0.0,0.0,7.0,18.0
max_20250619,25.0,142.28,44.43114523244553,0.0,123.0,143.0,164.0,213.0
cv_20250619,25.0,0.39995634331635993,0.22646218275189434,0.0,0.2754797620564096,0.37984890553787576,0.4202912596006109,1.2052321690967183
skew_20250619,24.0,0.4277855247477653,0.933910133904039,-0.5392312918389691,-0.23474423848653375,0.0940084728210441,0.8718041617260321,3.1474329629098547
kurt_20250619,24.0,2.1358827609738467,4.288673755130567,-0.9846816352478038,0.1536572469973424,0.5529415694695685,1.9839271766282804,16.215721836439975
p10_20250619,25.0,27.4,15.127238126417307,0.0,19.0,31.0,37.0,53.0
p25_20250619,25.0,36.92,16.5628097455313,0.0,29.0,41.0,47.0,62.0
p50_20250619,25.0,49.12,15.43351331788499,0.0,40.0,54.0,59.0,72.0
p75_20250619,25.0,60.44,17.708472548472383,0.0,50.0,66.0,72.0,82.0
p90_20250619,25.0,72.48400000000001,21.383827222147744,0.0,63.0,76.0,84.0,115.80000000000007
mean_local_std_20250619,25.0,9.967021053185235,2.934464075290046,0.0,8.746961552556165,9.599468264746603,12.367733161833863,14.616460940462934
local_variance_20250619,25.0,157.61180529109922,115.66987805215378,0.0,101.9083552427567,120.2012025969341,186.28812388252078,619.5049778277436
mean_sobel_20250619,25.0,68.61558661301665,21.08035692181081,0.0,59.55895686800971,65.38989270825367,86.25605335500903,108.34110808510687
laplacian_var_20250619,25.0,1586.3381851234278,1168.3348127113304,0.0,979.8143377512538,1204.690222380228,1824.0124502979336,6253.492817098869
edge_density_20250619,25.0,0.3269265153349537,0.07522239462563676,0.0,0.3288990718443878,0.3439457650390457,0.36083236596586266,0.38797715659753534
lbp_mean_20250619,25.0,5.224009099311184,0.6228697334232935,4.698795180722891,5.001031858635367,5.057544629500349,5.15815108859773,8.0
iqr_20250619,25.0,23.52,11.391224692718513,0.0,19.0,21.0,26.0,58.0
entropy_20250619,25.0,-0.8946335058593935,6.735080881484589,-33.21928094887358,0.3805944487870173,0.4305584943223184,0.5068485431975176,0.7207121714682714
glcm_contrast_20250619,25.0,0.0062408129019989956,0.0053962691868191534,0.0,0.002682520270610969,0.00447970724356352,0.007600568409558285,0.02095523752091824
glcm_homogeneity_20250619,25.0,0.9980927718372388,0.0018132813596705,0.9934094876140862,0.9976509478324044,0.9987476042591571,0.9993832278094215,1.0
glcm_entropy_20250619,25.0,0.31270778932322585,0.2728042060911829,-0.0,0.1644082591456264,0.23593558824707347,0.4175018809645143,0.9108108496754671
glcm_energy_20250619,25.0,0.99324760520886,0.0065362628951064865,0.9792452401835741,0.9913656267132696,0.9950377612479382,0.9970345791383429,1.0
glcm_asm_20250619,25.0,0.9865818200181877,0.012939652878525507,0.9589212436857757,0.9828058074795908,0.9901001466125989,0.9940779521496959,1.0
mean_20250814,25.0,51.75805423872046,9.390297922984127,32.21546961325967,42.989250402391356,51.25363514589117,60.76286373202606,63.23500998654873
std_20250814,25.0,21.79324363532679,7.103153591850178,12.383327633478272,17.049542715642104,21.214916324575455,24.048093158161652,41.2215033148421
min_20250814,25.0,0.68,2.212088003071608,0.0,0.0,0.0,0.0,8.0
max_20250814,25.0,151.96,35.27213253169325,84.0,133.0,151.0,173.0,217.0
cv_20250814,25.0,0.4393229666579648,0.1930154685166841,0.2809122194866073,0.33265034451913333,0.36208518124882055,0.4305610186764253,0.9543492836187347
skew_20250814,25.0,0.362913481719765,0.820239548374052,-0.948004817123555,-0.21612147234800413,0.1750556114044699,0.8560788488816339,2.322128727280713
kurt_20250814,25.0,2.080241531131072,3.0928520105260353,-1.5165904789675528,0.6762471489152695,1.2441036090589757,2.5914618529004674,12.781934433899675
p10_20250814,25.0,25.36,15.244889854199231,0.0,26.0,30.0,36.0,44.0
p25_20250814,25.0,37.84,14.022838514366484,0.0,34.0,40.0,48.0,53.0
p50_20250814,25.0,51.32,9.379587766350218,35.0,42.0,53.0,59.0,64.0
p75_20250814,25.0,63.96,10.489995233554685,47.0,54.0,64.0,74.0,77.0
p90_20250814,25.0,77.11200000000001,14.215493894573864,56.0,65.0,78.0,87.0,113.80000000000007
mean_local_std_20250814,25.0,10.985911268018144,2.289561777974742,7.546192891495516,8.964571485605981,10.242339901005945,12.865555056131768,15.158924654299897
local_variance_20250814,25.0,182.10436677849705,117.91000902912965,77.1494308694567,109.46673408027634,131.28102201668253,208.9593925962281,625.3871380092854
mean_sobel_20250814,25.0,75.10283728079875,16.268753389601127,50.67173191800383,61.537759137938465,69.01257875630915,88.94370823963435,108.89373543774691
laplacian_var_20250814,25.0,1971.2650564276169,1417.960694301873,773.232161643961,1074.5181206821617,1331.3009262470136,2568.367437788097,6990.532758204916
edge_density_20250814,25.0,0.34892846959300206,0.026476614440211495,0.27369308600337267,0.3332362577357117,0.35698613742894186,0.36789229484964375,0.3826871055004509
lbp_mean_20250814,25.0,5.201522909265496,0.24429550386452767,4.968307993315126,5.046192602199885,5.096760347852051,5.264427625354777,5.823102866779089
iqr_20250814,25.0,26.12,12.804035822088805,14.0,19.0,22.0,27.0,64.0
entropy_20250814,25.0,0.4312245671997303,0.09685265616003827,0.2821323050224256,0.3695097396859609,0.41188720090788217,0.4677997626178886,0.6939799777088689
glcm_contrast_20250814,25.0,0.006033907325126601,0.00549066144271782,0.0002096755101045583,0.0030681750042392494,0.004669718383452144,0.0074624514708511,0.023228484104679648
glcm_homogeneity_20250814,25.0,0.9981036947962391,0.0018320486961928301,0.9930826908654712,0.9973785186126265,0.9987565672438429,0.9992800666497181,0.9999843857129851
glcm_entropy_20250814,25.0,0.3126971187315644,0.27221412784663573,0.002203602161633212,0.15848732484362002,0.2444777530380775,0.4287176940266214,0.9076791901156269
glcm_energy_20250814,25.0,0.9932063718929739,0.006575986285883096,0.9791806983829916,0.9912965759431436,0.9950880562429931,0.9970825342785419,0.9999748464536669
glcm_asm_20250814,25.0,0.9865004116133452,0.013017020550493735,0.9587948424434258,0.9826689026909026,0.990200239843197,0.994173580251392,0.9999496935438006
mean_20251013,25.0,50.27209704097058,8.631437310756493,16.558011049723756,48.52644862761594,51.6181989691069,55.549092008922386,61.81347572657237
std_20251013,25.0,19.110065135950787,4.852883268932249,13.282693578573435,16.068031835714923,17.765293449339385,21.261041552940753,35.726317148236305
min_20251013,25.0,0.92,3.1874754901018454,0.0,0.0,0.0,0.0,12.0
max_20251013,25.0,134.56,28.624115706865073,76.0,117.0,133.0,157.0,180.0
cv_20251013,25.0,0.4175989021769155,0.25401229754284727,0.24895960542233522,0.2923460470519011,0.3395478639989912,0.37525139787223954,1.4680605821134993
skew_20251013,25.0,0.03509273866755565,0.7602395505058795,-0.9599527685005772,-0.7163891054584064,-0.06315660429161916,0.6666681364112328,1.3709645266030528
kurt_20251013,25.0,1.5861147535429005,1.3845229390167375,-0.8704294072466139,0.5000866481226836,1.9597565828702068,2.2932053491280477,4.280846451865734
p10_20251013,25.0,27.56,14.56331006330635,0.0,30.0,34.0,36.0,40.0
p25_20251013,25.0,40.08,10.028791884702098,0.0,41.0,43.0,44.0,47.0
p50_20251013,25.0,49.66,11.446178401545207,0.0,50.5,52.0,55.0,58.0
p75_20251013,25.0,61.27,5.6282027918925115,40.0,59.0,61.0,65.0,71.0
p90_20251013,25.0,73.08,8.793558248323977,57.0,66.0,71.0,78.0,96.0
mean_local_std_20251013,25.0,9.751579093894684,1.5560899223788751,7.414860519025451,8.574845853737951,9.457996159658347,11.120083671050626,12.969540679440884
local_variance_20251013,25.0,128.24425111052693,45.5863643949073,81.7886994553568,95.85351467368919,107.25281858771162,165.58736168074702,235.05519453617902
mean_sobel_20251013,25.0,66.02146405076238,10.891457872706368,49.353994549367485,57.96419764285106,63.95732723383817,74.65301734326434,88.25035136200312
laplacian_var_20251013,25.0,1368.2100450437038,602.1367670646885,810.4425811730815,930.5947657579511,1075.6126624930857,1643.4722873341273,2998.91953355591
edge_density_20251013,25.0,0.34172514835105355,0.032405824627766554,0.23756906077348067,0.33136980830670926,0.34720908230842007,0.36509112960280293,0.3821460775473399
lbp_mean_20251013,25.0,5.245941393751866,0.3689407984689272,4.989931928422941,5.076304090388461,5.141929666366096,5.247554947944053,6.828729281767956
iqr_20251013,25.0,21.19,6.532482937852447,15.0,17.0,19.0,22.0,40.0
entropy_20251013,25.0,0.46737697722620203,0.09150424214667072,0.3437317736439184,0.4059003634701965,0.45532315632454784,0.5073896017667042,0.716719329819243
glcm_contrast_20251013,25.0,0.006231393597732421,0.005436627322541335,0.00013663992466835445,0.003187122009677382,0.004443144343107068,0.007204481036651958,0.020801761879001568
glcm_homogeneity_20251013,25.0,0.9980319779501592,0.00186246221553767,0.9933948851850398,0.9975644312447618,0.9986784364794686,0.9989662566633772,0.9999905545521732
glcm_entropy_20251013,25.0,0.3153317917599491,0.2739439613401199,0.001284379572357914,0.16099205334015243,0.2485461627122636,0.4255711523592916,0.8825949678645805
glcm_energy_20251013,25.0,0.9931638584132895,0.006627230098329171,0.9790855202827686,0.9912674667247641,0.9951276281183183,0.9970382276488383,0.9999856265306594
glcm_asm_20251013,25.0,0.9864166133902288,0.013117466489965044,0.9586084579305247,0.982611191727379,0.9902789964061333,0.994085227482012,0.9999712532705166
diff_sowing,25.0,-1.473304671835521,13.330451121944945,-49.64088397790055,-7.781939312506999,-1.5893632572337566,4.3539520614571146,19.642040539592728
diff_veg,25.0,1.8957119046534072,10.230645185515014,-21.212851405622487,-2.3031026252983295,1.9911490437806236,5.770798342850746,32.21546961325967
diff_harvest,25.0,-1.4859571977498789,6.454629385380707,-15.657458563535915,-6.173789588642158,-1.4215342599763616,4.977394108997771,9.065428647497335
sec_diff_1,25.0,3.369016576488929,23.027203073018303,-31.10693661889509,-6.167551507476496,3.9794266441821264,13.552737655357745,81.85635359116023
sec_diff_2,25.0,-3.3816691024032854,13.427842402867217,-47.87292817679558,-6.792544821359471,-1.1541960044469874,2.3304696032034897,21.602409638554214
ratio_sowing,25.0,0.9704478203992142,0.2713497353821407,2.0144681529006837e-07,0.8402419897847256,0.9739379094617376,1.097180740039002,1.381901817693902
ratio_veg,25.0,128862.9142188439,644309.3848140058,0.6547261641869428,0.9472129065089601,1.0326576055935124,1.1409958469359636,3221547.961325967
ratio_harvest,25.0,0.9784087583312977,0.14939319645855734,0.5139771702454675,0.8943749410061848,0.9775198258768836,1.103954099091519,1.2279461523390933
growth_rate,25.0,0.21120361640894317,2.936067722605617,-8.71270718232044,-0.5900494366521016,0.7020178072809635,1.2884651737218178,5.223873441994247
change_magnitude,25.0,25.847338626721115,8.846455922323273,18.111156401581542,20.704918652568967,22.012912673056444,27.784746996723698,53.66298342541437
cumulative_change,25.0,43.73397653165076,16.35659154196196,30.353503444340276,34.204414808001836,35.09327894512166,46.73415326395459,99.76795580110497
temporal_variance,25.0,33.205973630232414,66.71367810028242,1.5379415909045657,4.231261098873181,16.14250209712058,32.50206758971761,338.71869562894904
slope,25.0,-0.1294937990142567,2.3272866693420715,-6.703314917127071,-0.7421620395458148,0.2050595468420795,1.3720201109898966,2.7562370659921838
water_fraction,25.0,0.4910290734271635,0.3633604403274487,0.0011617005665837852,0.12204779428890855,0.5776355816636946,0.8471004885167421,0.9958664875477937
builtup_fraction,25.0,3.262506362226669e-05,0.00012117207015801213,0.0,0.0,0.0,0.0,0.0005981706852860887
veg_fraction,25.0,0.5089383015092142,0.36332642783835295,0.004133512452206263,0.15289951148325784,0.42236441833630545,0.8779522057110914,0.9987160151632495
