Crop,Feature,Mean_Importance,Std_Importance,Stability_Index
Rice_frac,area_ha,0.0277198248930962,0.005127782433186082,0.18491939465736504
Rice_frac,bbox_width,0.01732158772584923,0.0031011286183546265,0.17892928607628036
Rice_frac,ratio_veg,0.1734696278499595,0.01674751002140062,0.09653877074191873
Rice_frac,p50_20250619,0.7814889595310951,0.016468936175302488,0.02107352284279939
Cotton_frac,area_ha,0.014539486264884426,0.0032918187239367592,0.22624982518328857
Cotton_frac,perimeter,0.028759317694357637,0.006266206880687555,0.21780867197683004
Cotton_frac,diff_harvest,0.4378174175900243,0.014942696514229215,0.034129193179540336
Cotton_frac,mean_20250606,0.17493939988481058,0.017806150810955105,0.10177886190337865
Cotton_frac,ratio_harvest,0.343944378565923,0.015611391867165925,0.04538797247546541
Maize_frac,area_ha,0.049152085481872304,0.010144958290833362,0.2063573624144595
Maize_frac,mean_sobel_20251013,0.26837037902961147,0.03493549149719673,0.13017155584738985
Maize_frac,mean_local_std_20250814,0.23381521903667107,0.0210266308464978,0.08992456388205144
Maize_frac,mean_local_std_20250606,0.21921793070868942,0.023693253210716827,0.10807588765776599
Maize_frac,mean_sobel_20250814,0.22944438574315584,0.027727906124973407,0.12084278117050753
Bajra_frac,area_ha,0.007181080893438253,0.00235888981023162,0.32802993669339325
Bajra_frac,p25_20250619,0.5372127873558598,0.019422349424633337,0.036153249418602665
Bajra_frac,temporal_variance,0.12890948821608383,0.02437972414994079,0.18910813630502146
Bajra_frac,p75_20250619,0.31728799369261707,0.016225950612107878,0.0511378922484672
Bajra_frac,mean_local_std_20250619,0.009408649842001146,0.003621192660753764,0.38447046248662564
Groundnut_frac,area_ha,0.033260962370303085,0.00624555816207529,0.18771798941559725
Groundnut_frac,perimeter,0.04109571449061471,0.009280329480494877,0.22576738041164007
Groundnut_frac,mean_local_std_20250814,0.32727408555705945,0.02515129590792607,0.07684851484641204
Groundnut_frac,mean_local_std_20250606,0.3205082569706143,0.021540020414043536,0.06720372379916681
Groundnut_frac,change_magnitude,0.2778609806114085,0.026195357273419553,0.09427165519688692
